project,noOfBedRoom,rental_rent,mean_areaSqft
WATER PLACE,5,30000.0,>3000
WATERBANK AT DAKOTA,1,3832.5,550.0
WATERBANK AT DAKOTA,3,6160.0,1210.0
WATERBAY,3,4250.0,1050.0
WATERCOLOURS,2,3200.0,750.0
WATERCOLOURS,3,4025.0,950.0
WATERFALL GARDENS,3,8350.0,1850.0
WATERFALL GARDENS,4,10000.0,2550.0
WATERFORD RESIDENCE,3,6700.0,1150.0
WATERFRONT @ FABER,2,3250.0,750.0
WATERFRONT @ FABER,4,5000.0,1250.0
WATERFRONT GOLD,2,4300.0,850.0
WATERFRONT GOLD,3,5350.0,1250.0
WATERFRONT GOLD,4,7000.0,1450.0
WATERFRONT ISLE,1,3425.0,550.0
WATERFRONT ISLE,2,4375.0,975.0
WATERFRONT ISLE,3,5410.0,1210.0
WATERFRONT KEY,2,4200.0,950.0
WATERFRONT KEY,3,5300.0,1225.0
WATERFRONT WAVES,2,3750.0,950.0
WATERFRONT WAVES,3,5033.333333333333,1250.0
WATERMARK ROBERTSON QUAY,2,6200.0,950.0
WATERMARK ROBERTSON QUAY,3,10300.0,1750.0
WATERSCAPE AT CAVENAGH,1,3550.0,550.0
WATERSCAPE AT CAVENAGH,2,5800.0,1100.0
WATERSCAPE AT CAVENAGH,3,7000.0,1250.0
WATERSCAPE AT CAVENAGH,4,6500.0,1550.0
WATERTOWN,1,3273.076923076923,550.0
WATERTOWN,2,4166.666666666667,916.6666666666666
WATERTOWN,3,5700.0,1150.0
WATERTOWN,4,6750.0,1350.0
WATERVIEW,2,3250.0,870.0
WATERVIEW,3,4466.666666666667,1150.0
WATTEN ESTATE CONDOMINIUM,2,6475.0,1800.0
WATTEN HILL,2,7050.0,1700.0
WEST BAY CONDOMINIUM,2,3980.769230769231,896.1538461538462
WEST BAY CONDOMINIUM,3,5575.0,1241.6666666666667
WESTCOVE CONDOMINIUM,2,4750.0,1150.0
WESTCOVE CONDOMINIUM,3,5191.666666666667,1300.0
WESTMERE,3,4720.0,1190.0
WESTPOINT CONDOMINIUM,3,5793.0,1950.0
WESTPOINT CONDOMINIUM,4,7715.0,2450.0
WESTPOINT CONDOMINIUM,5,8185.0,2850.0
WESTWOOD RESIDENCES,3,4800.0,1050.0
WESTWOOD RESIDENCES,4,6100.0,1183.3333333333333
WHARTON VALE,2,4700.0,650.0
WHISTLER GRAND,1,3639.285714285714,485.7142857142857
WHISTLER GRAND,2,4460.0,666.6666666666666
WHISTLER GRAND,3,4700.0,950.0
WHISTLER GRAND,4,6200.0,1250.0
WHITEHAVEN,2,3955.5555555555557,627.7777777777778
WHITEHAVEN,3,4962.5,750.0
WHITEHAVEN,4,6056.25,1012.5
WHITEWATER,3,4350.0,1200.0
WHITEWATER,4,3900.0,1350.0
WILKIE 48,2,4100.0,850.0
WILKIE COURT,3,4500.0,1050.0
WILKIE STUDIO,2,4500.0,750.0
WILKIE STUDIO,3,5600.0,1250.0
WILLYN VILLE,2,3500.0,950.0
WILMER HOUSE,3,7750.0,1850.0
WINDERMERE,3,3900.0,1316.6666666666667
WINDY HEIGHTS,4,5600.0,2450.0
WING FONG MANSIONS/WING FONG COURT,1,4300.0,650.0
WING FONG MANSIONS/WING FONG COURT,2,4100.0,950.0
WING FONG MANSIONS/WING FONG COURT,3,4600.0,1250.0
WOODGROVE CONDOMINIUM,3,5653.846153846154,1650.0
WOODHAVEN,1,2841.6666666666665,616.6666666666666
WOODHAVEN,2,3733.3333333333335,850.0
WOODHAVEN,3,4840.0,1190.0
WOODSVALE,3,4155.555555555556,1272.2222222222222
WOODSVILLE 28,3,6800.0,1350.0
WOOLLERTON PARK,3,9800.0,2350.0
WOOLLERTON PARK,4,11000.0,2750.0
WORTHINGTON,1,3600.0,750.0
YEW MEI GREEN,3,4300.0,1325.0
YGK GARDEN,4,13000.0,>3000
YISHUN EMERALD,2,2700.0,950.0
YONG AN PARK,2,5000.0,1050.0
YONG AN PARK,3,8300.0,2116.6666666666665
YONG AN PARK,4,15250.0,>3000
ZEDGE,1,3450.0,550.0
ZEDGE,2,4150.0,800.0
ZENITH,2,4500.0,750.0
